node	2068203472	11.3109907	50.9891265	DE	Weimar	Moskauer Straße
node	2068203477	11.3024120	50.9876746	DE	Weimar	Soproner Straße
node	2068203487	11.3088160	50.9867371	DE	Weimar	Warschauer Straße
node	2068203492	11.3056044	50.9878040	DE	Weimar	Berliner Straße
node	2068203497	11.3085823	50.9860101	DE	Weimar	Budapester Straße
node	2068203502	11.3056621	50.9891702	DE	Weimar	Kaunaser Straße
node	2068203507	11.3110404	50.9899644	DE	Weimar	Moskauer Straße
node	2068203508	11.3100061	50.9892677	DE	Weimar	Prager Straße
node	2068203789	11.3032715	50.9871913	DE	Weimar	Soproner Straße
node	2068203800	11.3092292	50.9874224	DE	Weimar	Warschauer Straße
node	2068203810	11.3051102	50.9901014	DE	Weimar	Moskauer Straße
node	2068203836	11.3052679	50.9900995	DE	Weimar	Moskauer Straße
node	2068203844	11.3054060	50.9900979	DE	Weimar	Moskauer Straße
node	2068203851	11.3055364	50.9900963	DE	Weimar	Moskauer Straße
node	2068203863	11.3056746	50.9900946	DE	Weimar	Moskauer Straße
node	2068203876	11.3047355	50.9872878	DE	Weimar	Berliner Straße
node	2068203886	11.3084101	50.9860117	DE	Weimar	Budapester Straße
node	2068203894	11.3054754	50.9888469	DE	Weimar	Kaunaser Straße
node	2068204003	11.3110436	50.9900649	DE	Weimar	Moskauer Straße
node	2068204017	11.3029488	50.9883286	DE	Weimar	Soproner Straße
node	2068204022	11.3079569	50.9867627	DE	Weimar	Warschauer Straße
node	2068204028	11.3058109	50.9900930	DE	Weimar	Moskauer Straße
node	2068204035	11.3059549	50.9900912	DE	Weimar	Moskauer Straße
node	2068204043	11.3060892	50.9900896	DE	Weimar	Moskauer Straße
node	2068204051	11.3062273	50.9900880	DE	Weimar	Moskauer Straße
node	2068204059	11.3065715	50.9902566	DE	Weimar	Moskauer Straße
node	2068204067	11.3054655	50.9878052	DE	Weimar	Berliner Straße
node	2068204076	11.3082402	50.9860132	DE	Weimar	Budapester Straße
node	2068204205	11.3054970	50.9891717	DE	Weimar	Kaunaser Straße
node	2068204213	11.3110470	50.9901775	DE	Weimar	Moskauer Straße
node	2068204221	11.3100082	50.9893543	DE	Weimar	Prager Straße
node	2068204229	11.3032735	50.9872795	DE	Weimar	Soproner Straße
node	2068204237	11.3092316	50.9875297	DE	Weimar	Warschauer Straße
node	2068204256	11.3065935	50.9903424	DE	Weimar	Moskauer Straße
node	2068204265	11.3065758	50.9904354	DE	Weimar	Moskauer Straße
