X;Y;street;category
11.3227174;50.9860571;Bertuchstraße;diebstahl
11.3226831;50.9860002;Friedrich-Naumann-Straße;unfall
11.3293527;50.9821876;Graben;unfall
11.3210123;50.9786948;Steubenstraße;unfall
11.3253163;50.9801630;Theaterplatz;körperverletzung
11.32568;50.979871;Theaterplatz;körperverletzung
11.3314923;50.9935301;Buttelstedter Straße;diebstahl
11.3267527;50.9766071;Humboldtstraße;diebstahl
11.3222558;50.9881586;Röhrstraße;diebstahl
11.3200348;50.9937295;Ettersburger Straße;vandalismus
11.3264535;50.9789080;Hummelstraße;diebstahl
11.3143136;50.9840682;Schwanseestraße;diebstahl
11.3058685;50.9856682;Schwanseestraße;diebstahl
11.3058685;50.9856682;Budapester Straße;diebstahl
11.3168770;50.9743476;Gutenbergstraße;diebstahl
11.3298646;50.9820114;Jakobstraße;unfall
11.3309800;50.9873610;Friesstraße;unfall
11.3316846;50.9906477;Friesstraße;unfall
11.3293527;50.9821876;Graben;unfall
11.3250908;50.9819163;Goetheplatz;vandalismus
11.3088160;50.9867371;Warschauer Straße;vandalismus
11.3109907;50.9891265;Moskauer Straße;vandalismus
11.3270531;50.9828442;Rollplatz;drogenmissbrauch
11.3267527;50.9766071;Humboldtstraße;unfall
11.3309800;50.9873610;Friesstraße;unfall
11.3267527;50.9766071;Humboldtstraße;unfall
11.3314923;50.9935301;Buttelstedter Straße;diebstahl
11.3418614;50.9711596;Dichterweg;unfall
11.3655032;50.9931983;Hauptstraße;unfall
11.3200495;50.9802959;Erfurter Straße;diebstahl
11.3230829;50.9928619;Hinter dem Bahnhof;diebstahl
11.2711980;50.9548996;Hinter dem Bahnhof;diebstahl
11.3313179;50.9806379;Burgplatz;diebstahl
11.3250908;50.9819163;Burgplatz;diebstahl
11.3069221;50.9883866;Straßburger Platz;diebstahl
11.3253163;50.9801630;Theaterplatz;vandalismus
11.32568;50.979871;Theaterplatz;vandalismus
11.3200348;50.9937295;Ettersburger Straße;diebstahl
11.328813;50.98491;atrium;diebstahl
11.3100061;50.9892677;Prager Straße;drogenmissbrauch
11.3170011;50.9775488;Trierer Straße;unfall
11.3633439;51.0029203;Dorfstraße;diebstahl
11.3633439;51.0029203;Dorfstraße;unfall
11.3293527;50.9821876;Graben;unfall
11.3263608;50.9914438;Schopenhauerstraße;unfall
11.3276438;50.9787017;Schillerstraße;diebstahl
11.3263608;50.9914438;Schillerstraße;diebstahl
11.3253163;50.9801630;Theaterplatz;drogenmissbrauch
11.32568;50.979871;Theaterplatz;drogenmissbrauch
11.3170011;50.9775488;Trierer Straße;einbruch
11.3293527;50.9821876;Graben;unfall
11.3313179;50.9806379;Burgplatz;körperverletzung
11.3286730;50.9850982;Friedensstraße;körperverletzung
11.328813;50.98491;Friedensstraße;körperverletzung
11.3310009;50.9807044;Schloßgasse;diebstahl
11.3293593;50.9786846;Frauentorstraße;diebstahl
11.3293527;50.9821876;Frauentorstraße;diebstahl
11.328813;50.98491;atrium;diebstahl
11.3293527;50.9821876;Graben;unfall
11.3314923;50.9935301;Buttelstedter Straße;unfall
11.3655032;50.9931983;Hauptstraße;vandalismus
11.3227174;50.9860571;Bertuchstraße;diebstahl
11.3109907;50.9891265;Moskauer Straße;diebstahl
11.3267527;50.9766071;Humboldtstraße;körperverletzung
11.3293527;50.9821876;Graben;unfall
11.3088160;50.9867371;Warschauer Straße;vandalismus
11.3655032;50.9931983;Hauptstraße;unfall
11.3166160;50.9605911;Berkaer Straße;diebstahl
11.3291889;50.9808226;Herderplatz;diebstahl
11.329757;50.981215;Herderplatz;diebstahl
11.3293527;50.9821876;Graben;unfall
11.3200348;50.9937295;Ettersburger Straße;unkategorisiert
11.3314923;50.9935301;Buttelstedter Straße;unfall
11.3342603;50.9897368;Buttelstedter Straße;unfall
11.2711980;50.9548996;Bahnhof;diebstahl
11.3294068;50.9798045;Kaufstraße;vandalismus
11.3230829;50.9928619;Hinter dem Bahnhof;körperverletzung
11.2711980;50.9548996;Hinter dem Bahnhof;körperverletzung
11.3222558;50.9881586;Röhrstraße;diebstahl
11.3226831;50.9860002;Friedrich-Naumann-Straße;unfall
11.3210123;50.9786948;Steubenstraße;unfall
11.3286730;50.9850982;Friedensstraße;einbruch
11.3222558;50.9881586;Röhrstraße;diebstahl
11.3274389;50.9902885;Brennerstraße;unfall
11.3143136;50.9840682;Schwanseestraße;drogenmissbrauch
11.3442420;50.9717588;Bodelschwinghstraße;unfall
11.3265161;50.9808807;Geleitstraße;diebstahl
11.3200495;50.9802959;Erfurter Straße;unfall
11.3088160;50.9867371;Warschauer Straße;diebstahl
